id,original_url,final_url,http_status,content_type,title,source_domain,retrieved,file_size_bytes,classification,artifact_type,workstreams,usefulness,authority,rationale,local_files,discovered_from,notes
myfloridacfo-com--docs-sf-consumer-services-libraries-consumerservices-documents-understanding-co,https://www.myfloridacfo.com/docs-sf/consumer-services-libraries/consumerservices-documents/understanding-coverage/sample-declarations-page.pdf?sfvrsn=7d9437e7_2,https://www.myfloridacfo.com/docs-sf/consumer-services-libraries/consumerservices-documents/understanding-coverage/sample-declarations-page.pdf?sfvrsn=7d9437e7_2,200,application/pdf,,www.myfloridacfo.com,2026-09-24T03:46:57Z,161555,downloadable_document,sample_declarations,template_generation;validation,5,illustrative,"Official one-page Florida sample declarations with populated coverages, deductibles, and premiums.",downloads/declarations/sample-declarations-page.pdf,,
dfs-ny-gov--system-files-documents-2026-04-Sample-Homeowners-Declarations-Page-pdf,https://www.dfs.ny.gov/system/files/documents/2026/04/Sample-Homeowners-Declarations-Page.pdf,https://www.dfs.ny.gov/system/files/documents/2026/04/Sample-Homeowners-Declarations-Page.pdf,403,text/html; charset=UTF-8,Just a moment...,www.dfs.ny.gov,2026-09-24T03:46:57Z,6020,blocked,,,,,"Cloudflare challenge page (HTTP 403, title 'Just a moment...'), not the PDF.",,,
disb-dc-gov--sites-default-files-dc-sites-disb-publication-attachments-Declaration-20Page-20,https://disb.dc.gov/sites/default/files/dc/sites/disb/publication/attachments/Declaration%20Page%20Sample%20Homeowners%2012.pdf,https://disb.dc.gov/sites/default/files/dc/sites/disb/publication/attachments/Declaration%20Page%20Sample%20Homeowners%2012.pdf,200,application/pdf,,disb.dc.gov,2026-09-24T03:46:57Z,83734,downloadable_document,sample_declarations,template_generation;validation,4,illustrative,DC regulator one-page sample declarations with section I/II limits and a populated layout.,downloads/declarations/Declaration-Page-Sample-Homeowners-12.pdf,,
mutualofwausau-com--agent-resources,https://mutualofwausau.com/agent-resources/,https://mutualofwausau.com/agent-resources/,200,text/html; charset=UTF-8,Agents - Mutual of Wausau,mutualofwausau.com,2026-09-24T03:46:57Z,696088,login_required,,,,,Page is an agent-center login form (username and password). Not bypassed.,,,
interactive-web-insurance-ca-gov--apex-f,https://interactive.web.insurance.ca.gov/apex/f?p=143:16,https://interactive.web.insurance.ca.gov/apex/f?p=143:16,200,text/html; charset=UTF-8,Search,interactive.web.insurance.ca.gov,2026-09-24T03:46:57Z,25833,interactive_tool,,,,,Oracle APEX homeowners comparison tool. The HTML has no policy-form or attachment downloads.,,,
fema-gov--sites-default-files-documents-fema-nfip-flood-insurance-full-manual-102022-pdf,https://www.fema.gov/sites/default/files/documents/fema_nfip-flood-insurance-full-manual_102022.pdf,https://www.fema.gov/sites/default/files/documents/fema_nfip-flood-insurance-full-manual_102022.pdf,404,text/html,FEMA.gov | Federal Emergency Management Agency - FEMA.gov is experiencing technical difficulties,www.fema.gov,2026-09-24T03:46:57Z,660233,dead_link,,,,,"FEMA 404 page: 'Page Not Found'. Current manuals were recorded separately, not substituted.",,,
content-govdelivery-com--attachments-FLOIR-2022-08-23-file-attachments-2251444-Personal-20Residential-pd,https://content.govdelivery.com/attachments/FLOIR/2022/08/23/file_attachments/2251444/Personal%20Residential.pdf,https://content.govdelivery.com/attachments/FLOIR/2022/08/23/file_attachments/2251444/Personal%20Residential.pdf,200,application/pdf,,content.govdelivery.com,2026-09-24T03:46:58Z,377234,downloadable_document,regulator_checklist,rule_abstraction;validation,5,authoritative,"Florida OIR personal-residential form-filing checklist, revised July 2022, citing statutes per row.",downloads/checklists/Personal-Residential.pdf,,
leg-state-fl-us--Statutes-index-cfm,https://leg.state.fl.us/Statutes/index.cfm?App_mode=Display_Statute&Search_String=&URL=0600-0699%2F0627%2FSections%2F0627.701.html,https://leg.state.fl.us/Statutes/index.cfm?App_mode=Display_Statute&Search_String=&URL=0600-0699%2F0627%2FSections%2F0627.701.html,200,text/html;charset=UTF-8,Statutes & Constitution :View Statutes : Online SunshineThe Florida StatutesF.S. 627.701,leg.state.fl.us,2026-09-24T03:46:58Z,46800,static_web_document,statute,rule_abstraction;validation,5,authoritative,"Florida Statutes §627.701, including deductible display and hurricane-premium separation.",downloads/statutes/leg-state-fl-us--Statutes-index-cfm.html;downloads/statutes/leg-state-fl-us--Statutes-index-cfm.md,,
maine-gov--pfr-insurance-sites-maine-gov-pfr-insurance-files-inline-files-homeowners-pdf,https://www.maine.gov/pfr/insurance/sites/maine.gov.pfr.insurance/files/inline-files/homeowners.pdf,https://www.maine.gov/pfr/insurance/sites/maine.gov.pfr.insurance/files/inline-files/homeowners.pdf,200,application/pdf,,www.maine.gov,2026-09-24T03:46:58Z,172459,downloadable_document,regulator_checklist,rule_abstraction;validation,4,authoritative,"Maine Bureau of Insurance homeowners line checklist, updated 5/7/2025, with review standards.",downloads/checklists/homeowners.pdf,,
cfpnet-com--wp-content-uploads-2020-12-Dwelling-New-Business-Application-REV-01-2021-pdf,https://www.cfpnet.com/wp-content/uploads/2020/12/Dwelling-New-Business-Application-REV-01-2021.pdf,https://www.cfpnet.com/wp-content/uploads/2020/12/Dwelling-New-Business-Application-REV-01-2021.pdf,200,application/pdf,,www.cfpnet.com,2026-09-24T03:46:58Z,177666,downloadable_document,application_checklist,rule_abstraction;data_mapping,4,carrier-specific,California FAIR Plan dwelling new-business application with eligibility and coverage instructions.,downloads/applications/Dwelling-New-Business-Application-REV-01-2021.pdf,,
